Qty,Value,Device,Package,Parts,Description,,
2,,B3F-1052,B3F-10XX,"MODE, RESET",OMRON SWITCH,,
2,,LED3MM,LED3MM,"LED1, LED2",Avago Technologies LED,,
4,,PINHD-1X2,1X02,"JP2, JP4, JP5, JP6",PIN HEADER,,
1,,PINHD-1X5,1X05,JP1,PIN HEADER,,
3,0.01uf,CAPACITOR025-024X044,CAP100MIL,"C1, C3, C5","CAPACITOR, American symbol",,
8,0.1uf,CAPACITOR025-024X044,CAP100MIL,"C2, C4, C7, C8, C9, C15, C16, C17","CAPACITOR, American symbol",,
1,1.0uf,CAPACITOR025-024X044,CAP100MIL,C6,"CAPACITOR, American symbol",,
1,10K,POTENTIOMETER_PTA2043B25U,PTA2043,R4,POTENTIOMETER,,
1,10K,RESISTOR0204/5,RES200MIL,R2,"RESISTOR, American symbol",,
2,10pf,CAPACITOR025-024X044,CAP100MIL,"C11, C12","CAPACITOR, American symbol",,
1,16MHZ_CRYSTAL,16MHZ_CRYSTAL,16MHZ_CRYSTAL,Y1,,,
2,1K,RESISTOR0204/5,RES200MIL,"R1, R5","RESISTOR, American symbol",,
1,1M,RESISTOR0204/5,RES200MIL,R3,"RESISTOR, American symbol",,
1,2.2uf,CAPACITOR025-024X044,CAP100MIL,C10,"CAPACITOR, American symbol",,
2,4.7uf,CAPACITOR_POLARIZEDE5-6,CAP200MILPOLARIZED,"C13, C14","POLARIZED CAPACITOR, American symbol",,
1,AD8300ARZ,AD8300ARZ,SOIC127P600X175-8N,DAC,DAC 1-Ch R-2R 12-Bit 8-Pin SOIC,,
1,LP2950-3.3ACZ,LP2950-3.3ACZ,TO92,U2,"LP2950 3.3V regulator, 100 mA TO-92",,
1,Logic Analyzer,PINHD-2X8,2X08,JP3,PIN HEADER,,
1,RC4558D,RC4558D,SOIC127P600X175-8N,OPAMP,"RC4558DG4, Dual Operational Amplifier 3MHz, 8-Pin SOIC",,
1,TM4C123GH6PM,TM4C123GH6PM,QFP50P1200X1200X160-64N,U1,,,
3,TP_LOOP,TP_LOOP,TP_LOOP,"3.3V, 3.7V, GND1",,,
